scientific_name,common_name,city,state,latitude_coordinate,longitude_coordinate,diameter_breast_height_cm,height_m,native,avg_dbh_growth,carbon_fraction,survival_rate
Celtis australis,European Nettle Tree,San Jose,California,37.26724137,-121.8429955,46.99,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26724525,-121.8431049,55.88,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26724271,-121.8433266,63.5,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26734627,-121.8434795,62.23,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2674618,-121.8434848,64.77,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26773653,-121.8434962,55.88,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2678459,-121.8433663,60.96,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2678487,-121.8431221,74.93,180.4462,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26785018,-121.8429936,73.66,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26786212,-121.8426242,77.47,180.4462,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26786439,-121.8419782,45.72,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26786813,-121.8418754,53.34,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26786319,-121.8416343,59.69,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26787006,-121.8414833,45.72,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26786262,-121.8412357,46.99,114.8294,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.228443,-121.8129891,46.99,98.4252,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.23411463,-121.7987869,55.88,147.6378,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.22460884,-121.7817852,38.1,82.021,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.22529016,-121.783838,81.28,164.042,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.22520426,-121.7839128,58.42,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.22490442,-121.7841243,73.66,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2246881,-121.7842347,68.58,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.22460553,-121.7842701,66.04,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.22441242,-121.7842998,66.04,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.22402923,-121.7842678,50.8,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.22385294,-121.7842445,44.45,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2237132,-121.7842193,76.2,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.22350258,-121.7841801,71.12,164.042,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.21817455,-121.7625478,13.97,65.6168,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.34631682,-121.8621957,39.37,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.34635141,-121.8621147,49.53,98.4252,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.34363564,-121.8659185,58.42,0.0,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.358927,-121.8091671,46.99,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.35921058,-121.8088094,39.37,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37547719,-121.8671137,35.56,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37556911,-121.8669559,82.55,164.042,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37591667,-121.8664092,78.74,164.042,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37606948,-121.8665333,73.66,164.042,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37587319,-121.8667583,57.15,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37581599,-121.8668349,57.15,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.3756865,-121.8670286,68.58,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37558444,-121.8671862,80.01,196.8504,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37754207,-121.8683399,78.74,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37772363,-121.8684154,71.12,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37738747,-121.8687804,83.82,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37729336,-121.8688676,62.23,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37711347,-121.8690372,60.96,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37661414,-121.8695171,40.64,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37651607,-121.8696483,36.83,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37653272,-121.8694033,44.45,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37658442,-121.8693454,40.64,131.2336,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.39117633,-121.8373916,27.94,98.4252,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.37411253,-121.8497029,21.59,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37407654,-121.8497506,25.4,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37405144,-121.8497887,34.29,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37401367,-121.8498576,31.75,0.0,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37395888,-121.8499319,27.94,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37392145,-121.8499698,30.48,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37388836,-121.8500329,33.02,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.3738649,-121.8500634,24.13,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37384425,-121.8501171,26.67,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37381143,-121.8501571,27.94,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37377698,-121.8502047,16.51,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37374876,-121.8502467,21.59,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37370801,-121.8503058,31.75,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37367963,-121.8503613,30.48,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37363748,-121.8504088,34.29,114.8294,introduced,1.8,0.46,0.86
Leucaena leucocephala,Subabul,San Jose,California,37.38199803,-121.8309718,12.7,32.8084,introduced,2.5,0.45,0.91
Celtis australis,European Nettle Tree,San Jose,California,37.37944238,-121.8480946,27.94,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.37622058,-121.8694385,20.32,98.4252,introduced,1.8,0.46,0.86
Ficus microcarpa,Chinese Banyan,San Jose,California,37.3286343,-121.7834779,22.86,49.2126,introduced,2.0,0.46,0.88
Celtis australis,European Nettle Tree,San Jose,California,37.32693985,-121.7734769,53.34,111.54856,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.32642015,-121.7742369,43.18,85.30184,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.31675685,-121.7852069,36.322,104.98688,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.31681395,-121.7853769,49.53,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.35538919,-121.7984804,43.942,104.98688,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.34932355,-121.8011869,53.34,82.021,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.30396132,-121.8016517,50.8,98.4252,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.3032827,-121.7985172,24.13,82.021,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.30223712,-121.8022304,8.89,49.2126,introduced,2.0,0.45,0.87
Ficus macrophylla,Moreton Bay Fig,San Jose,California,37.31143022,-121.8301811,33.02,65.6168,introduced,2.2,0.47,0.9
Caryota urens,Fishtail Palm,San Jose,California,37.28324336,-121.743197,17.78,49.2126,introduced,1.7,0.45,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.31094229,-121.8353372,15.24,82.021,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.31109414,-121.7934986,10.16,65.6168,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.31203064,-121.7952264,48.26,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.31204023,-121.7951149,57.15,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.31184834,-121.7947488,55.88,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.31197751,-121.794781,66.04,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30153824,-121.7995154,39.37,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30152987,-121.7993821,40.64,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30106269,-121.7991298,35.56,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30006492,-121.7988781,40.64,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2998356,-121.7988556,44.45,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.29944304,-121.7987594,39.37,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30046431,-121.7988018,35.56,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30111348,-121.7988387,2.54,32.8084,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30584411,-121.7959117,43.18,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30580496,-121.7957703,39.37,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30545056,-121.7953855,49.53,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30483064,-121.7949052,35.56,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30644463,-121.8350564,90.17,196.8504,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30626873,-121.8350236,63.5,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30570165,-121.7968728,38.1,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30554121,-121.7954284,45.72,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30466781,-121.7949909,36.83,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30457733,-121.7949336,38.1,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.30486717,-121.7949325,34.29,82.021,introduced,1.8,0.46,0.86
Leucaena leucocephala,Subabul,San Jose,California,37.30156678,-121.8033963,15.24,65.6168,introduced,2.5,0.45,0.91
Leucaena leucocephala,Subabul,San Jose,California,37.30267204,-121.8094024,13.97,82.021,introduced,2.5,0.45,0.91
Leucaena leucocephala,Subabul,San Jose,California,37.30168112,-121.8112054,7.62,114.8294,introduced,2.5,0.45,0.91
Leucaena leucocephala,Subabul,San Jose,California,37.29951707,-121.8121616,24.13,65.6168,introduced,2.5,0.45,0.91
Celtis australis,European Nettle Tree,San Jose,California,37.31245502,-121.7931206,71.12,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.31224295,-121.7942998,60.96,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.3122466,-121.7958233,66.04,131.2336,introduced,1.8,0.46,0.86
Leucaena leucocephala,Subabul,San Jose,California,37.26243383,-121.7990819,15.24,49.2126,introduced,2.5,0.45,0.91
Celtis australis,European Nettle Tree,San Jose,California,37.28423039,-121.8189575,69.85,147.6378,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.28082627,-121.8203243,81.28,131.2336,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.25169324,-121.7904466,66.04,147.6378,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.25123502,-121.7909075,73.66,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.25266778,-121.7902778,53.34,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.25264735,-121.7903936,58.42,114.8294,introduced,1.8,0.46,0.86
Leucaena leucocephala,Subabul,San Jose,California,37.27667299,-121.8165437,16.51,82.021,introduced,2.5,0.45,0.91
Leucaena leucocephala,Subabul,San Jose,California,37.27921206,-121.8158035,20.32,65.6168,introduced,2.5,0.45,0.91
Celtis australis,European Nettle Tree,San Jose,California,37.26406962,-121.7995876,48.26,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.26407116,-121.7996447,49.53,131.2336,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27426107,-121.8072755,45.72,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2747013,-121.807835,45.72,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27469764,-121.80802,33.02,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27552948,-121.8083763,17.78,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27495559,-121.8086237,27.94,49.2126,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27469975,-121.8086253,40.64,65.6168,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27455134,-121.8083454,25.4,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27455717,-121.8081151,33.02,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27455234,-121.8079641,20.32,65.6168,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27359223,-121.8083192,22.86,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.27324068,-121.8083242,20.32,49.2126,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.2733392,-121.8083259,19.05,65.6168,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.27270314,-121.8051788,27.94,65.6168,introduced,2.0,0.45,0.87
Leucaena leucocephala,Subabul,San Jose,California,37.27508805,-121.8111653,5.08,49.2126,introduced,2.5,0.45,0.91
Melia azedarach,Persian Lilac,San Jose,California,37.26935816,-121.8037352,99.06,131.2336,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.26926096,-121.8035961,50.8,114.8294,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.33807511,-121.7895174,30.48,68.89764,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.34365089,-121.8659226,35.56,,introduced,2.0,0.45,0.87
